year,region,tas_anomaly,scenario
1999,indian,0.15761948,historical
2000,indian,0.23221779,historical
2001,indian,0.39613914,historical
2002,indian,0.21318245,historical
2003,indian,0.46783257,historical
2004,indian,0.31671715,historical
2005,indian,0.26621437,historical
2006,indian,0.43172646,historical
2007,indian,0.17999268,historical
2008,indian,0.21037483,historical
2009,indian,0.29575157,historical
2010,indian,0.4959488,historical
2011,indian,0.33131218,historical
2012,indian,0.70067024,historical
2013,indian,0.3007183,historical
2014,indian,0.4682026,historical
2015,indian,0.5281658,ssp585
2016,indian,0.6580887,ssp585
2017,indian,0.58415794,ssp585
2018,indian,0.790926,ssp585
2019,indian,0.8799572,ssp585
2020,indian,0.6959667,ssp585
2021,indian,1.0144291,ssp585
2022,indian,0.57211876,ssp585
2023,indian,0.89403725,ssp585
2024,indian,0.58481026,ssp585
2025,indian,0.8157501,ssp585
2026,indian,0.84031105,ssp585
2027,indian,0.9487972,ssp585
2028,indian,1.0817966,ssp585
2029,indian,1.0699673,ssp585
2030,indian,0.9221878,ssp585
2031,indian,1.3347111,ssp585
2032,indian,0.89535713,ssp585
2033,indian,1.1682987,ssp585
2034,indian,0.9873104,ssp585
2035,indian,1.1159267,ssp585
2036,indian,1.048212,ssp585
2037,indian,1.4310436,ssp585
2038,indian,1.2730389,ssp585
2039,indian,1.1311436,ssp585
2040,indian,1.2925282,ssp585
2041,indian,1.506506,ssp585
2042,indian,1.367424,ssp585
2043,indian,1.5251789,ssp585
2044,indian,1.4562969,ssp585
2045,indian,1.4850979,ssp585
2046,indian,1.6257,ssp585
2047,indian,1.3818073,ssp585
2048,indian,1.5035305,ssp585
2049,indian,1.564003,ssp585
2050,indian,1.7356014,ssp585
2051,indian,1.5394306,ssp585
2052,indian,1.6945572,ssp585
2053,indian,1.9583607,ssp585
2054,indian,1.7722397,ssp585
2055,indian,1.8270645,ssp585
2056,indian,1.9938107,ssp585
2057,indian,1.9606533,ssp585
2058,indian,2.088499,ssp585
2059,indian,2.2766972,ssp585
2060,indian,2.3135662,ssp585
2061,indian,2.320467,ssp585
2062,indian,2.4002132,ssp585
2063,indian,2.332283,ssp585
2064,indian,2.525938,ssp585
2065,indian,2.2826023,ssp585
2066,indian,2.220993,ssp585
2067,indian,2.5029125,ssp585
2068,indian,2.4115295,ssp585
2069,indian,2.797079,ssp585
2070,indian,2.5969372,ssp585
2071,indian,2.7971115,ssp585
2072,indian,2.7627773,ssp585
2073,indian,2.6994324,ssp585
2074,indian,2.999174,ssp585
2075,indian,2.8968105,ssp585
2076,indian,2.981987,ssp585
2077,indian,2.8757076,ssp585
2078,indian,2.9359074,ssp585
2079,indian,3.0649395,ssp585
2080,indian,3.341917,ssp585
2081,indian,3.300171,ssp585
2082,indian,3.4680004,ssp585
2083,indian,3.358099,ssp585
2084,indian,3.4460983,ssp585
2085,indian,3.6600132,ssp585
2086,indian,3.5032291,ssp585
2087,indian,3.4395618,ssp585
2088,indian,3.7335873,ssp585
2089,indian,3.7631855,ssp585
2090,indian,3.8385792,ssp585
2091,indian,3.81073,ssp585
2092,indian,3.9282532,ssp585
2093,indian,3.7459488,ssp585
2094,indian,3.8897476,ssp585
2095,indian,3.9949055,ssp585
2096,indian,4.188715,ssp585
2097,indian,3.9432755,ssp585
2098,indian,4.104929,ssp585
2099,indian,4.249489,ssp585
2100,indian,4.4131374,ssp585
1980,pacific_north,0.0,historical
1981,pacific_north,0.1441536,historical
1982,pacific_north,-0.07637787,historical
1983,pacific_north,-0.07933617,historical
1984,pacific_north,-0.08480072,historical
1985,pacific_north,0.27578735,historical
1986,pacific_north,-0.107471466,historical
1987,pacific_north,-0.14333153,historical
1988,pacific_north,0.022937775,historical
1989,pacific_north,0.1868763,historical
1990,pacific_north,0.43631935,historical
1991,pacific_north,0.013963699,historical
1992,pacific_north,-0.19700623,historical
1993,pacific_north,-0.0370636,historical
1994,pacific_north,-0.17064476,historical
1995,pacific_north,-0.06699753,historical
1996,pacific_north,-0.008703232,historical
1997,pacific_north,0.025270462,historical
1998,pacific_north,-0.0054740906,historical
1999,pacific_north,0.4016533,historical
2000,pacific_north,0.3212471,historical
2001,pacific_north,0.19858551,historical
2002,pacific_north,0.46222115,historical
2003,pacific_north,0.46207047,historical
2004,pacific_north,0.4063053,historical
2005,pacific_north,0.55088997,historical
2006,pacific_north,0.011875153,historical
2007,pacific_north,0.15273476,historical
2008,pacific_north,0.33010483,historical
2009,pacific_north,0.3446598,historical
2010,pacific_north,0.5448799,historical
2011,pacific_north,0.9211693,historical
2012,pacific_north,0.30363083,historical
2013,pacific_north,0.46941757,historical
2014,pacific_north,0.7516632,historical
2015,pacific_north,1.088192,ssp585
2016,pacific_north,0.8063507,ssp585
2017,pacific_north,0.78453445,ssp585
2018,pacific_north,1.2466507,ssp585
2019,pacific_north,0.9157963,ssp585
2020,pacific_north,1.1993637,ssp585
2021,pacific_north,0.61332893,ssp585
2022,pacific_north,0.8214741,ssp585
2023,pacific_north,1.1646824,ssp585
2024,pacific_north,1.2487526,ssp585
2025,pacific_north,1.3848076,ssp585
2026,pacific_north,1.2996616,ssp585
2027,pacific_north,1.6231937,ssp585
2028,pacific_north,1.1061974,ssp585
2029,pacific_north,1.0121689,ssp585
2030,pacific_north,1.4814339,ssp585
2031,pacific_north,1.0388565,ssp585
2032,pacific_north,1.0325737,ssp585
2033,pacific_north,1.2742882,ssp585
2034,pacific_north,1.2584839,ssp585
2035,pacific_north,1.3923588,ssp585
2036,pacific_north,1.4834461,ssp585
2037,pacific_north,1.3083267,ssp585
2038,pacific_north,1.1659489,ssp585
2039,pacific_north,1.3874073,ssp585
2040,pacific_north,1.9709854,ssp585
2041,pacific_north,1.6472969,ssp585
2042,pacific_north,1.8358002,ssp585
2043,pacific_north,1.9917774,ssp585
2044,pacific_north,1.703577,ssp585
2045,pacific_north,2.1982536,ssp585
2046,pacific_north,1.8144398,ssp585
2047,pacific_north,1.9583321,ssp585
2048,pacific_north,1.975399,ssp585
2049,pacific_north,2.354351,ssp585
2050,pacific_north,2.210413,ssp585
2051,pacific_north,2.1438694,ssp585
2052,pacific_north,2.4149342,ssp585
2053,pacific_north,2.3859634,ssp585
2054,pacific_north,2.1242561,ssp585
2055,pacific_north,2.4611397,ssp585
2056,pacific_north,2.5825768,ssp585
2057,pacific_north,2.684475,ssp585
2058,pacific_north,2.7966232,ssp585
2059,pacific_north,2.575531,ssp585
2060,pacific_north,2.7022934,ssp585
2061,pacific_north,2.9948463,ssp585
2062,pacific_north,2.8223228,ssp585
2063,pacific_north,3.1480732,ssp585
2064,pacific_north,2.795124,ssp585
2065,pacific_north,2.8416176,ssp585
2066,pacific_north,3.1824722,ssp585
2067,pacific_north,2.811016,ssp585
2068,pacific_north,3.3037605,ssp585
2069,pacific_north,3.3425522,ssp585
2070,pacific_north,3.6436005,ssp585
2071,pacific_north,3.5417442,ssp585
2072,pacific_north,3.2243977,ssp585
2073,pacific_north,3.585001,ssp585
2074,pacific_north,3.6058598,ssp585
2075,pacific_north,3.6938019,ssp585
2076,pacific_north,3.3347855,ssp585
2077,pacific_north,3.2966728,ssp585
2078,pacific_north,3.5221138,ssp585
2079,pacific_north,3.8387547,ssp585
2080,pacific_north,3.7565022,ssp585
2081,pacific_north,3.9466343,ssp585
2082,pacific_north,3.8195267,ssp585
2083,pacific_north,3.916748,ssp585
2084,pacific_north,4.393709,ssp585
2085,pacific_north,4.140148,ssp585
2086,pacific_north,4.318634,ssp585
2087,pacific_north,4.3701096,ssp585
2088,pacific_north,4.3761387,ssp585
2089,pacific_north,4.4438972,ssp585
2090,pacific_north,4.2402115,ssp585
2091,pacific_north,4.5566044,ssp585
2092,pacific_north,4.4985046,ssp585
2093,pacific_north,4.7623672,ssp585
2094,pacific_north,4.7799263,ssp585
2095,pacific_north,5.047714,ssp585
2096,pacific_north,4.892193,ssp585
2097,pacific_north,4.883854,ssp585
2098,pacific_north,5.058344,ssp585
2099,pacific_north,5.0947456,ssp585
2100,pacific_north,5.155319,ssp585
1980,pacific_south,0.0,historical
1981,pacific_south,0.19043922,historical
1982,pacific_south,0.045928955,historical
1983,pacific_south,0.26517677,historical
1984,pacific_south,0.22318268,historical
1985,pacific_south,0.4118595,historical
1986,pacific_south,0.27747345,historical
1987,pacific_south,-0.05826378,historical
1988,pacific_south,0.00500679,historical
1989,pacific_south,0.30331612,historical
1990,pacific_south,0.5837269,historical
