year,tas_anomaly,region,scenario,pr_anomaly
2028,2.0212686893365968,north_america,ssp585,0.03517679668672402
2029,1.9455022113947846,north_america,ssp585,0.05700308167269119
2030,2.2334237432313904,north_america,ssp585,0.048972049252954175
2031,2.370611079649721,north_america,ssp585,0.04543031894575611
2032,2.1483233191471447,north_america,ssp585,0.06933326471149526
2033,2.0985850890980595,north_america,ssp585,0.09729039889010993
2034,2.3277340300471687,north_america,ssp585,0.07600633944644164
2035,2.251956333329586,north_america,ssp585,0.030842093135106108
2036,2.6564646095240745,north_america,ssp585,0.06046180439588289
2037,2.493474498012527,north_america,ssp585,0.07692460067874896
2038,2.5073434913197437,north_america,ssp585,0.03726253671544599
2039,2.5299544688214413,north_america,ssp585,0.08133361563830865
2040,2.6173101405704324,north_america,ssp585,0.07337831867772371
2041,2.5148160459178506,north_america,ssp585,0.058550790499332095
2042,2.67572954340507,north_america,ssp585,0.08649271478644893
2043,2.7848994753670215,north_america,ssp585,0.10118422849694264
2044,2.7703206621900884,north_america,ssp585,0.10493332136860678
2045,2.949890166561219,north_america,ssp585,0.06526088612198233
2046,2.900912011916721,north_america,ssp585,0.06055883167551723
2047,3.1027166683474015,north_america,ssp585,0.0540988772065889
2048,3.340263428926078,north_america,ssp585,0.03111203194279799
2049,3.2319864299277556,north_america,ssp585,0.10454675502240507
2050,3.366655776671017,north_america,ssp585,0.12454936447638465
2051,3.206855338264168,north_america,ssp585,0.10198123989266117
2052,3.390893736137584,north_america,ssp585,0.0804701702302002
2053,3.363421638065213,north_america,ssp585,0.10182351585282978
2054,3.804092646713781,north_america,ssp585,0.07236789656100306
2055,3.690626913851159,north_america,ssp585,0.0566003383087299
2056,3.8069744330482687,north_america,ssp585,0.012598093175913316
2057,3.9070847073660167,north_america,ssp585,0.10148700509938857
2058,4.108085063709621,north_america,ssp585,0.12893365958855796
2059,4.133247617695282,north_america,ssp585,0.1843689215490163
2060,4.072187209771869,north_america,ssp585,0.12099430130947209
2061,4.155510180066483,north_america,ssp585,0.1020528440700521
2062,4.28376435975397,north_america,ssp585,0.1358271313153252
2063,4.324006941361035,north_america,ssp585,0.0982880939913735
2064,4.377523045259765,north_america,ssp585,0.10286581267865147
2065,4.447420778870196,north_america,ssp585,0.12007314864948171
2066,4.172243179897257,north_america,ssp585,0.14558932437052308
2067,4.465202989075178,north_america,ssp585,0.1320710099904443
2068,4.463320523028504,north_america,ssp585,0.11106610508061099
2069,4.708540837417331,north_america,ssp585,0.11004293065837523
2070,4.770093955946185,north_america,ssp585,0.14858773942187176
2071,5.080159390098704,north_america,ssp585,0.15042135149043778
2072,5.108930240561425,north_america,ssp585,0.13712709487978225
2073,4.8944553054543,north_america,ssp585,0.186851017389007
2074,5.15459219337962,north_america,ssp585,0.12454393270705522
2075,5.240235985564137,north_america,ssp585,0.11033339794630548
2076,5.314861456898925,north_america,ssp585,0.14617086928036072
2077,5.464464680255603,north_america,ssp585,0.08983445905481302
2078,5.403189603713252,north_america,ssp585,0.15013749521010888
2079,5.581395076616321,north_america,ssp585,0.1590210441375839
2080,5.576000924424293,north_america,ssp585,0.16561018710101427
2081,5.688769298798099,north_america,ssp585,0.1730222267792496
2082,5.9257403860483,north_america,ssp585,0.19193473909062186
2083,5.977633151999253,north_america,ssp585,0.1160017264552331
2084,5.840654255909842,north_america,ssp585,0.16724595266827702
2085,5.92838429150785,north_america,ssp585,0.23736016125829495
2086,6.027092115361745,north_america,ssp585,0.20707716805234755
2087,6.095416186902812,north_america,ssp585,0.21845634954068105
2088,6.2997201526858895,north_america,ssp585,0.14996336180951753
2089,6.081435988844046,north_america,ssp585,0.15737899469588745
2090,6.3043485643338535,north_america,ssp585,0.1816462712512723
2091,6.554457723410026,north_america,ssp585,0.18634165671833047
2092,6.540307142021835,north_america,ssp585,0.19665097577182244
2093,6.546289385588109,north_america,ssp585,0.19662400324236762
2094,6.794763549728389,north_america,ssp585,0.23636026425760503
2095,6.828252099446921,north_america,ssp585,0.20938395746056981
2096,6.932640098994172,north_america,ssp585,0.12188271749496193
2097,6.933898300562669,north_america,ssp585,0.18034139095547186
2098,7.014752366916882,north_america,ssp585,0.2234500542263027
2099,7.121039242036803,north_america,ssp585,0.25242239872997674
2100,8.180159926175056,north_america,ssp585,0.26528775421584827
1980,0.0,oceania,historical,0.0
1981,0.1618575165665206,oceania,historical,-0.018845843083441283
1982,-0.07233330191105125,oceania,historical,0.1719534313187001
1983,-0.4349301219308046,oceania,historical,0.24984307777058756
1984,-0.12899798044658795,oceania,historical,0.09511687534288149
1985,0.012817609480602954,oceania,historical,0.07075194670608131
